graph_id,graph6,n,m,GADL,labeling
1,G?????,8,0,NO,-
2,G???C?,8,1,NO,-
3,G???E?,8,2,NO,-
4,G???F?,8,3,NO,-
5,G???F_,8,4,NO,-
6,G???Fo,8,5,NO,-
7,G???Fw,8,6,NO,-
8,G???F{,8,7,NO,-
9,G??CA?,8,2,NO,-
10,G??CB?,8,3,NO,-
11,G??CB_,8,4,NO,-
12,G??CBo,8,5,NO,-
13,G??CBw,8,6,NO,-
14,G??CCC,8,3,NO,-
15,G??CE?,8,3,NO,-
16,G??CEC,8,4,NO,-
17,G??CF?,8,4,NO,-
18,G??CFC,8,5,NO,-
19,G??CF_,8,5,NO,-
20,G??CFc,8,6,NO,-
21,G??CFo,8,6,NO,-
22,G??CFs,8,7,NO,-
23,G??CFw,8,7,NO,-
24,G??CF{,8,8,NO,-
25,G??E@_,8,4,NO,-
26,G??E@c,8,5,NO,-
27,G??E@o,8,5,NO,-
28,G??E@s,8,6,NO,-
29,G??E@w,8,6,NO,-
30,G??E@{,8,7,NO,-
31,G??EDC,8,5,NO,-
32,G??ED_,8,5,NO,-
33,G??EDc,8,6,NO,-
34,G??EDo,8,6,NO,-
35,G??EDs,8,7,NO,-
36,G??EDw,8,7,NO,-
37,G??ED{,8,8,NO,-
38,G??EE?,8,4,NO,-
39,G??EEC,8,5,NO,-
40,G??EF?,8,5,NO,-
41,G??EFC,8,6,NO,-
42,G??EF_,8,6,NO,-
43,G??EFc,8,7,NO,-
44,G??EFo,8,7,NO,-
45,G??EFs,8,8,NO,-
46,G??EFw,8,8,NO,-
47,G??EF{,8,9,NO,-
48,G??F?w,8,6,NO,-
49,G??F?{,8,7,NO,-
50,G??FCo,8,6,NO,-
51,G??FCs,8,7,NO,-
52,G??FCw,8,7,NO,-
53,G??FC{,8,8,NO,-
54,G??FE_,8,6,NO,-
55,G??FEc,8,7,NO,-
56,G??FEo,8,7,NO,-
57,G??FEs,8,8,NO,-
58,G??FEw,8,8,NO,-
59,G??FE{,8,9,NO,-
60,G??FF?,8,6,NO,-
61,G??FFC,8,7,NO,-
62,G??FF_,8,7,NO,-
63,G??FFc,8,8,NO,-
64,G??FFo,8,8,NO,-
65,G??FFs,8,9,NO,-
66,G??FFw,8,9,NO,-
67,G??FF{,8,10,NO,-
68,G??FeW,8,8,NO,-
69,G??Fe[,8,9,NO,-
70,G??FfO,8,8,NO,-
71,G??FfS,8,9,NO,-
72,G??FfW,8,9,NO,-
73,G??Ff[,8,10,NO,-
74,G??Ff_,8,8,NO,-
75,G??Ffc,8,9,NO,-
76,G??Ffo,8,9,NO,-
77,G??Ffs,8,10,NO,-
78,G??Ffw,8,10,NO,-
79,G??Ff{,8,11,NO,-
80,G??Fvg,8,10,NO,-
81,G??Fvk,8,11,NO,-
82,G??Fvo,8,10,NO,-
83,G??Fvs,8,11,NO,-
84,G??Fvw,8,11,NO,-
85,G??Fv{,8,12,NO,-
86,G??F~w,8,12,NO,-
87,G??F~{,8,13,NO,-
88,G?AA@?,8,3,NO,-
89,G?AA@_,8,4,NO,-
90,G?AA@o,8,5,NO,-
91,G?AACG,8,4,NO,-
92,G?AAD?,8,4,NO,-
93,G?AADG,8,5,NO,-
94,G?AAD_,8,5,NO,-
95,G?AADg,8,6,NO,-
96,G?AADo,8,6,NO,-
97,G?AADw,8,7,NO,-
98,G?AAE?,8,4,NO,-
99,G?AAEG,8,5,NO,-
100,G?AAEK,8,6,NO,-
101,G?AAF?,8,5,NO,-
102,G?AAFG,8,6,NO,-
103,G?AAFK,8,7,NO,-
104,G?AAF_,8,6,NO,-
105,G?AAFg,8,7,NO,-
106,G?AAFk,8,8,NO,-
107,G?AAFo,8,7,NO,-
108,G?AAFw,8,8,NO,-
109,G?AAF{,8,9,NO,-
110,G?AB?o,8,5,NO,-
111,G?AB?s,8,6,NO,-
112,G?ABAc,8,6,NO,-
113,G?ABAo,8,6,NO,-
114,G?ABAs,8,7,NO,-
