graph_id,graph6,n,m,graceful,labeling
1,G?????,8,0,NO,-
2,G???C?,8,1,NO,-
3,G???E?,8,2,NO,-
4,G???F?,8,3,NO,-
5,G???F_,8,4,NO,-
6,G???Fo,8,5,NO,-
7,G???Fw,8,6,NO,-
8,G???F{,8,7,YES,"0:7,1:6,2:1,3:5,4:2,5:4,6:3,7:0"
9,G??CA?,8,2,NO,-
10,G??CB?,8,3,NO,-
11,G??CB_,8,4,NO,-
12,G??CBo,8,5,NO,-
13,G??CBw,8,6,NO,-
14,G??CCC,8,3,NO,-
15,G??CE?,8,3,NO,-
16,G??CEC,8,4,NO,-
17,G??CF?,8,4,NO,-
18,G??CFC,8,5,NO,-
19,G??CF_,8,5,NO,-
20,G??CFc,8,6,NO,-
21,G??CFo,8,6,NO,-
22,G??CFs,8,7,YES,"0:7,1:5,2:2,3:4,4:3,5:1,6:6,7:0"
23,G??CFw,8,7,YES,"0:6,1:7,2:1,3:5,4:2,5:4,6:3,7:0"
24,G??CF{,8,8,YES,"0:8,1:6,2:2,3:5,4:3,5:4,6:7,7:0"
25,G??E@_,8,4,NO,-
26,G??E@c,8,5,NO,-
27,G??E@o,8,5,NO,-
28,G??E@s,8,6,NO,-
29,G??E@w,8,6,NO,-
30,G??E@{,8,7,YES,"0:6,1:1,2:5,3:2,4:4,5:3,6:7,7:0"
31,G??EDC,8,5,NO,-
32,G??ED_,8,5,NO,-
33,G??EDc,8,6,NO,-
34,G??EDo,8,6,NO,-
35,G??EDs,8,7,YES,"0:7,1:1,2:2,3:4,4:3,5:5,6:6,7:0"
36,G??EDw,8,7,YES,"0:6,1:4,2:7,3:1,4:5,5:3,6:2,7:0"
37,G??ED{,8,8,YES,"0:7,1:4,2:6,3:2,4:5,5:3,6:8,7:0"
38,G??EE?,8,4,NO,-
39,G??EEC,8,5,NO,-
40,G??EF?,8,5,NO,-
41,G??EFC,8,6,NO,-
42,G??EF_,8,6,NO,-
43,G??EFc,8,7,YES,"0:6,1:5,2:4,3:3,4:1,5:2,6:7,7:0"
44,G??EFo,8,7,YES,"0:7,1:6,2:1,3:5,4:2,5:4,6:3,7:0"
45,G??EFs,8,8,YES,"0:7,1:6,2:5,3:3,4:4,5:1,6:8,7:0"
46,G??EFw,8,8,YES,"0:8,1:7,2:1,3:6,4:2,5:5,6:4,7:0"
47,G??EF{,8,9,YES,"0:8,1:7,2:6,3:3,4:5,5:4,6:9,7:0"
48,G??F?w,8,6,NO,-
49,G??F?{,8,7,YES,"0:7,1:1,2:5,3:2,4:4,5:3,6:0,7:6"
50,G??FCo,8,6,NO,-
51,G??FCs,8,7,YES,"0:6,1:5,2:2,3:4,4:3,5:1,6:0,7:7"
52,G??FCw,8,7,YES,"0:6,1:1,2:4,3:7,4:5,5:3,6:2,7:0"
53,G??FC{,8,8,YES,"0:7,1:6,2:2,3:5,4:3,5:4,6:8,7:0"
54,G??FE_,8,6,NO,-
55,G??FEc,8,7,YES,"0:7,1:2,2:5,3:3,4:1,5:4,6:0,7:6"
56,G??FEo,8,7,YES,"0:7,1:2,2:6,3:4,4:3,5:5,6:1,7:0"
57,G??FEs,8,8,YES,"0:7,1:6,2:4,3:5,4:3,5:1,6:8,7:0"
58,G??FEw,8,8,YES,"0:8,1:2,2:7,3:5,4:3,5:4,6:1,7:0"
59,G??FE{,8,9,YES,"0:9,1:2,2:1,3:3,4:5,5:4,6:8,7:0"
60,G??FF?,8,6,NO,-
61,G??FFC,8,7,YES,"0:6,1:5,2:4,3:1,4:2,5:3,6:0,7:7"
62,G??FF_,8,7,YES,"0:7,1:5,2:2,3:3,4:6,5:4,6:1,7:0"
63,G??FFc,8,8,YES,"0:7,1:6,2:5,3:4,4:1,5:2,6:8,7:0"
64,G??FFo,8,8,YES,"0:8,1:6,2:2,3:3,4:4,5:7,6:1,7:0"
65,G??FFs,8,9,YES,"0:8,1:7,2:6,3:5,4:4,5:1,6:9,7:0"
